epoch,acc,dice_coef,iou_coef,loss,lr,val_acc,val_dice_coef,val_iou_coef,val_loss
0,0.9235279560089111,0.9523319005966187,0.9126482605934143,0.09185054153203964,0.005,0.9275582432746887,0.9680307507514954,0.9380879998207092,0.06223147362470627
1,0.9277294278144836,0.9746309518814087,0.9505495429039001,0.05038795247673988,0.005,0.9282960891723633,0.9763341546058655,0.9537834525108337,0.0461827889084816
2,0.9280057549476624,0.9776086807250977,0.9562159776687622,0.044810470193624496,0.005,0.8412229418754578,0.6440441608428955,0.4813540279865265,0.8232578635215759
3,0.9279003143310547,0.9771842360496521,0.9554187655448914,0.045712146908044815,0.005,0.9284437894821167,0.9787530899047852,0.9584043622016907,0.04171453416347504
4,0.9281905293464661,0.9796528220176697,0.960128664970398,0.040825340896844864,0.005,0.9284029603004456,0.978516161441803,0.9579481482505798,0.04295993596315384
5,0.9282139539718628,0.9800907969474792,0.9609701037406921,0.03996829316020012,0.005,0.9284743070602417,0.9796974658966064,0.9602177143096924,0.04130411893129349
6,0.9282367825508118,0.9804784059524536,0.9617141485214233,0.03924630209803581,0.005,0.9284069538116455,0.9797235131263733,0.9602691531181335,0.041795097291469574
7,0.9282326102256775,0.9804823398590088,0.9617211818695068,0.03921778127551079,0.005,0.9285060167312622,0.9805126190185547,0.9617824554443359,0.03882163017988205
8,0.9282649755477905,0.9810175895690918,0.9627507925033569,0.038239382207393646,0.005,0.9282807111740112,0.9779859185218811,0.9569471478462219,0.04702012613415718
9,0.9283068180084229,0.9815458655357361,0.9637663960456848,0.0371667854487896,0.005,0.9284950494766235,0.9807180762290955,0.9621749520301819,0.03929390385746956
10,0.9281165599822998,0.9805078506469727,0.9618228673934937,0.039598044008016586,0.005,0.8260021805763245,0.5582612156867981,0.3886702358722687,1.9702403545379639
11,0.928125262260437,0.9794456362724304,0.9597399830818176,0.04127246513962746,0.0034999999,0.9284830093383789,0.9797406792640686,0.9603029489517212,0.04017727077007294
12,0.9283056855201721,0.9815900325775146,0.963854193687439,0.03704913333058357,0.0034999999,0.928526759147644,0.9807474613189697,0.9622339606285095,0.03860354423522949
13,0.9283304810523987,0.9820017218589783,0.964646577835083,0.03624548763036728,0.0034999999,0.928516685962677,0.9808711409568787,0.9624691009521484,0.038136061280965805
14,0.9283451437950134,0.9822615385055542,0.96514892578125,0.03574119135737419,0.0034999999,0.9285184144973755,0.980992317199707,0.9627042412757874,0.038243409246206284
15,0.9283540844917297,0.9824384450912476,0.9654890298843384,0.035398561507463455,0.0034999999,0.9285210371017456,0.9813386797904968,0.963371992111206,0.03766453638672829
16,0.9283568859100342,0.9825364947319031,0.965679407119751,0.035204898566007614,0.0034999999,0.9285686612129211,0.9816156029701233,0.9639049172401428,0.03708655387163162
17,0.9283661842346191,0.9827359914779663,0.9660635590553284,0.034830961376428604,0.0034999999,0.9285494685173035,0.9815435409545898,0.9637641906738281,0.037241142243146896
18,0.928372859954834,0.9828618764877319,0.9663066267967224,0.034574273973703384,0.0034999999,0.9285377860069275,0.9815753698348999,0.963826596736908,0.03726702928543091
19,0.928382396697998,0.9830169081687927,0.9666058421134949,0.03426925837993622,0.0034999999,0.9285213947296143,0.9816485047340393,0.96396803855896,0.037767887115478516
20,0.928395688533783,0.9833713173866272,0.9672919511795044,0.03360041230916977,0.00245,0.928486168384552,0.9809103012084961,0.9625505805015564,0.03970008343458176
21,0.9284046292304993,0.9835603833198547,0.967656672000885,0.03324234485626221,0.00245,0.928558886051178,0.9822639226913452,0.965150773525238,0.03673484921455383
22,0.928410530090332,0.9836848974227905,0.9678961038589478,0.033001989126205444,0.00245,0.9284992218017578,0.9810974597930908,0.9629048705101013,0.03912198916077614
23,0.9283789992332458,0.9832522869110107,0.967061460018158,0.03384268656373024,0.00245,0.9285666942596436,0.982195258140564,0.9650232791900635,0.03640056028962135
24,0.9284171462059021,0.983830988407135,0.9681806564331055,0.032717786729335785,0.00245,0.9285743832588196,0.9823358654975891,0.9652908444404602,0.03617015480995178
25,0.9284223318099976,0.9839675426483154,0.96844482421875,0.03246888518333435,0.00245,0.9285715818405151,0.9822755455970764,0.9651756882667542,0.036385055631399155
26,0.9284260869026184,0.9840255975723267,0.9685572981834412,0.032344114035367966,0.00245,0.9285398721694946,0.982113778591156,0.9648656249046326,0.03690769523382187
27,0.9284284710884094,0.984119713306427,0.9687406420707703,0.03217329829931259,0.00245,0.9285496473312378,0.9820820093154907,0.9648058414459229,0.03708437830209732
28,0.9284384846687317,0.984410285949707,0.9693023562431335,0.031630028039216995,0.001715,0.9285675883293152,0.9823517203330994,0.9653236865997314,0.03636924922466278
29,0.928443968296051,0.9845419526100159,0.9695574045181274,0.031384050846099854,0.001715,0.9285675883293152,0.9824680685997009,0.965547502040863,0.03669856861233711
30,0.9284456968307495,0.9846058487892151,0.9696802496910095,0.03126458078622818,0.001715,0.9285698533058167,0.9823780655860901,0.9653773903846741,0.03652269020676613
31,0.9284507632255554,0.9848146438598633,0.9700862169265747,0.03087632544338703,0.0012005001,0.9285719394683838,0.9825339913368225,0.965675413608551,0.03624263405799866
